Date,1. open,2. high,3. low,4. close,5. volume
2021-11-18,148.9850,158.6700,147.4800,157.8700,948581515
2021-10-29,141.9000,153.1650,138.2700,149.8000,1565079040
2021-09-30,152.8300,157.2600,141.2700,141.5000,1797948421
2021-08-31,146.3600,153.4900,144.5000,151.8300,1462773381
2021-07-30,136.6000,150.0000,135.7600,145.8600,1916751489
2021-06-30,125.0800,137.4100,123.1300,136.9600,1606114354
2021-05-28,132.0400,134.0700,122.2500,124.6100,1711935110
2021-04-30,123.6600,137.0700,122.4900,131.4600,1889956694
2021-03-31,123.7500,128.7200,116.2100,122.1500,2650845211
2021-02-26,133.7500,137.8770,118.3900,121.2600,1825486961
2021-01-29,133.5200,145.0900,126.3820,131.9600,2239366098
