Date,1. open,2. high,3. low,4. close,5. volume
2007-12-31,90.0300,95.9400,83.8600,92.6400,127062200
2007-11-30,87.7500,91.4700,76.5000,90.5600,180196500
2007-10-31,93.4200,101.0900,83.2700,89.1500,231988500
2007-09-28,79.9000,94.2600,79.7300,93.1500,122273200
2007-08-31,78.1000,80.8000,70.0500,79.9100,175514000
2007-07-31,68.8100,89.0000,68.0100,78.5400,264827800
2007-06-29,68.9000,74.7200,66.7100,68.4100,238788700
2007-05-31,61.1200,73.3100,59.7000,69.1400,330242400
2007-04-30,39.8500,63.8400,39.5500,61.3300,315622753
2007-03-30,39.3200,40.2400,37.0400,39.7900,142153100
2007-02-28,37.9500,42.0000,36.6800,39.1400,157975400
2007-01-31,38.6800,39.1400,36.3000,37.6700,130435300
