,Date,1. open,2. high,3. low,4. close,5. volume
0,2021-11-17,331.3550,342.1900,326.3700,339.1200,283907267
1,2021-10-29,282.1217,332.0000,280.2500,331.6200,516523658
2,2021-09-30,302.8650,305.3200,281.6200,281.9200,502931199
3,2021-08-31,286.3600,305.8400,283.7400,301.8800,440360333
4,2021-07-30,269.6100,290.1500,269.6000,284.9100,522303043
5,2021-06-30,251.2300,271.6500,243.0000,270.9000,508388858
6,2021-05-28,253.4000,254.3500,238.0700,249.6800,495089530
7,2021-04-30,238.4700,263.1900,238.0501,252.1800,568698272
8,2021-03-31,235.9000,241.0500,224.2600,235.7700,724981506
9,2021-02-26,235.0600,246.1300,227.8800,232.3800,489396912
10,2021-01-29,222.5300,242.6400,211.9400,231.9600,647897096
